No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|1er lot|Nombre de lots|Code type local|Type local|Surface reelle bati|Nombre pieces principales|Year
1|03/08/2020|Vente|269570,00|259.0|AV|0276|JEAN PAUL COSTE|13100.0|AIX EN PROVENCE|13|1||BS|5|332.0|1|2.0|Appartement|78.0|4.0|2018
1|03/08/2020|Vente|269570,00|9001.0|RES|A016|LE BEL ORMEAU|13100.0|AIX EN PROVENCE|13|1||BS|5|125.0|1|3.0|Dépendance|0.0|0.0|2018
1|04/08/2020|Vente|66000,00|11.0|RUE|0700|CONSTANTIN|13100.0|AIX EN PROVENCE|13|1||AC|63|1.0|1|2.0|Appartement|16.0|1.0|2018
1|04/08/2020|Vente|66000,00|11.0|RUE|0700|CONSTANTIN|13100.0|AIX EN PROVENCE|13|1||AC|63|10.0|1|3.0|Dépendance|0.0|0.0|2018
1|18/08/2020|Vente|230000,00|1.0|AV|3057|DU VAL SAINT ANDRE|13100.0|AIX EN PROVENCE|13|1||BN|91|59.0|2|2.0|Appartement|45.0|2.0|2018
1|18/08/2020|Vente|230000,00|1.0|AV|3057|DU VAL SAINT ANDRE|13100.0|AIX EN PROVENCE|13|1||BN|91|19.0|1|3.0|Dépendance|0.0|0.0|2018
1|18/08/2020|Vente|230000,00|1.0|AV|3057|DU VAL SAINT ANDRE|13100.0|AIX EN PROVENCE|13|1||BN|91|47.0|1|3.0|Dépendance|0.0|0.0|2018
1|18/08/2020|Vente|113100,00|12.0|RUE|1230|GIBELIN|13100.0|AIX EN PROVENCE|13|1||AT|201|5.0|1|2.0|Appartement|15.0|1.0|2018
1|21/07/2020|Vente|149000,00|21.0|RUE|0310|DES BERNARDINES|13100.0|AIX EN PROVENCE|13|1||AM|114|9.0|1|2.0|Appartement|22.0|1.0|2018
1|04/08/2020|Vente|150000,00|19.0|RUE|0930|DES EPINAUX|13100.0|AIX EN PROVENCE|13|1||AC|66|9.0|1|2.0|Appartement|56.0|3.0|2018
